id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_tribe_name,taxon_genus_name,taxon_species_name
75763583,2021/04/30 9:29 AM CEST,2021-04-30,2021-04-30 07:29:00 UTC,Paris,2591601,brudermann,2021-04-30 07:54:55 UTC,2021-04-30 08:46:04 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/75763583,https://inaturalist-open-data.s3.amazonaws.com/photos/123984738/medium.jpeg,,"",St.Georgen,1,0,false,,St.Georgen,46.6559491263,14.3353284727,31,31,,,false,,,Aradus versicolor,Aradus versicolor,Bunte Rindenwanze,Insecta,1072591,Arthropoda,Insecta,Hemiptera,Aradoidea,Aradidae,,,Aradus,Aradus versicolor
75767695,2021/04/30 8:48 AM CEST,2021-04-30,2021-04-30 06:48:00 UTC,Paris,2591923,insektograf,2021-04-30 08:33:01 UTC,2021-05-22 10:34:01 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/75767695,https://inaturalist-open-data.s3.amazonaws.com/photos/123991077/medium.jpg,,"",,1,0,false,,"Klagenfurt am Wörthersee, Österreich",46.6285586159,14.3303541333,31,31,,,false,,,Cloporte rugueux,Porcellio scaber,Kellerassel,Animalia,122238,Arthropoda,Malacostraca,Isopoda,,Porcellionidae,,,Porcellio,Porcellio scaber
75768004,2021/04/30 8:41 AM CEST,2021-04-30,2021-04-30 06:41:00 UTC,Paris,2591923,insektograf,2021-04-30 08:36:23 UTC,2021-04-30 17:24:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/75768004,https://inaturalist-open-data.s3.amazonaws.com/photos/123991515/medium.jpg,,"","",2,0,false,,"Klagenfurt am Wörthersee, Österreich",46.6284207776,14.3303575578,31,31,,open,false,,,Eichhörnchen,Sciurus vulgaris,Eichhörnchen,Mammalia,46001,Chordata,Mammalia,Rodentia,,Sciuridae,Sciurinae,Sciurini,Sciurus,Sciurus vulgaris
75768527,2021/04/30 10:37 AM CEST,2021-04-30,2021-04-30 08:37:00 UTC,Paris,2591601,brudermann,2021-04-30 08:41:30 UTC,2021-04-30 08:41:30 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/75768527,https://inaturalist-open-data.s3.amazonaws.com/photos/123992220/medium.jpeg,,"",,0,0,false,,St.Georgen,46.6559491263,14.3353284727,31,31,,,false,,,Phyllonorycter,Phyllonorycter,,Insecta,61354,Arthropoda,Insecta,Lepidoptera,Gracillarioidea,Gracillariidae,Lithocolletinae,,Phyllonorycter,
75768930,2021/04/30 9:07 AM CEST,2021-04-30,2021-04-30 07:07:00 UTC,Paris,2591923,insektograf,2021-04-30 08:46:19 UTC,2021-10-12 08:21:03 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/75768930,https://inaturalist-open-data.s3.amazonaws.com/photos/123993016/medium.jpg,,"",,1,0,false,,"Klagenfurt am Wörthersee, Österreich",46.6283704792,14.3304294587,15,15,,,false,,,Nematoceran Flies,Nematocera,Mücken,Insecta,154259,Arthropoda,Insecta,Diptera,,,,,,
75769073,2021/04/30 9:04 AM CEST,2021-04-30,2021-04-30 07:04:00 UTC,Paris,2591923,insektograf,2021-04-30 08:47:34 UTC,2021-04-30 17:55:15 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/75769073,https://inaturalist-open-data.s3.amazonaws.com/photos/123993252/medium.jpg,,"",,1,0,false,,"Klagenfurt am Wörthersee, Österreich",46.6334688028,14.3307908176,31,31,,,false,,,Gewöhnliche Leuchterflechte,Candelaria concolor,Gewöhnliche Leuchterflechte,Fungi,69430,Ascomycota,Lecanoromycetes,Candelariales,,Candelariaceae,,,Candelaria,Candelaria concolor
75769320,2021/04/30 9:06 AM CEST,2021-04-30,2021-04-30 07:06:00 UTC,Paris,2591923,insektograf,2021-04-30 08:49:30 UTC,2021-04-30 17:42:24 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/75769320,https://inaturalist-open-data.s3.amazonaws.com/photos/123993573/medium.jpg,,"",,2,0,false,,"Klagenfurt am Wörthersee, Österreich",46.6334388849,14.3308225205,31,31,,,false,,,Lewinskya speciosa,Lewinskya speciosa,,Plantae,1123509,Bryophyta,Bryopsida,Orthotrichales,,Orthotrichaceae,,,Lewinskya,Lewinskya speciosa
75769464,2021/04/30 8:29 AM CEST,2021-04-30,2021-04-30 06:29:00 UTC,Paris,2591923,insektograf,2021-04-30 08:50:42 UTC,2021-05-14 04:09:45 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/75769464,https://inaturalist-open-data.s3.amazonaws.com/photos/123993929/medium.jpg,,"",,2,0,false,,"Klagenfurt am Wörthersee, Österreich",46.6283770348,14.3304627705,31,31,,,false,,,Gewöhnliche Strauchschrecke,Pholidoptera griseoaptera,Gewöhnliche Strauchschrecke,Insecta,55359,Arthropoda,Insecta,Orthoptera,Tettigonioidea,Tettigoniidae,Tettigoniinae,Pholidopterini,Pholidoptera,Pholidoptera griseoaptera
75769623,2021/04/30 8:59 AM CEST,2021-04-30,2021-04-30 06:59:00 UTC,Paris,2591923,insektograf,2021-04-30 08:52:32 UTC,2021-04-30 17:52:55 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/75769623,https://inaturalist-open-data.s3.amazonaws.com/photos/123994099/medium.jpg,,"",,1,0,false,,"Klagenfurt am Wörthersee, Österreich",46.6334231102,14.3307626502,31,31,,,false,,,Gewöhnliche Gelbflechte,Xanthoria parietina,Gewöhnliche Gelbflechte,Fungi,55576,Ascomycota,Lecanoromycetes,Teloschistales,,Teloschistaceae,Xanthorioideae,,Xanthoria,Xanthoria parietina
75769907,2021/04/30 9:03 AM CEST,2021-04-30,2021-04-30 07:03:00 UTC,Paris,2591923,insektograf,2021-04-30 08:55:29 UTC,2021-04-30 13:00:38 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/75769907,https://inaturalist-open-data.s3.amazonaws.com/photos/123994663/medium.jpg,,"",,2,0,false,,"Klagenfurt am Wörthersee, Österreich",46.6334856735,14.3307863161,31,31,,,false,,,Formica rufibarbis-group,Formica rufibarbis-group,,Insecta,1095108,Arthropoda,Insecta,Hymenoptera,Formicoidea,Formicidae,Formicinae,Formicini,Formica,
