id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_tribe_name,taxon_genus_name,taxon_species_name
75771567,2021-04-30 11:08:35,2021-04-30,2021-04-30 09:08:35 UTC,Vienna,4318284,janina_koroschitz,2021-04-30 09:09:11 UTC,2021-05-06 07:37:32 UTC,needs_id,,https://www.inaturalist.org/observations/75771567,https://static.inaturalist.org/photos/124052209/medium.jpeg,,"",,1,0,false,2,"Gemeinde Furth bei Göttweig, 3511 Furth bei Göttweig, Österreich",48.3660842852,15.6099561998,3,3,,,false,,,Muscari neglectum,Muscari neglectum,,Plantae,1097919,Tracheophyta,Liliopsida,Asparagales,,Asparagaceae,Scilloideae,,Muscari,
75794763,Fri Apr 30 2021 14:07:38 GMT+0200 (GMT+2),2021-04-30,2021-04-30 12:07:38 UTC,Pretoria,4319206,julia_rbl,2021-04-30 12:08:18 UTC,2021-04-30 20:58:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/75794763,https://inaturalist-open-data.s3.amazonaws.com/photos/124030268/medium.jpg,,"","",2,0,false,3,"Willendorf, Aggsbach Markt, Lower Austria, AT",48.323834525,15.4071988181,10,10,,,false,,,Große Brennessel,Urtica dioica,Große Brennessel,Plantae,51884,Tracheophyta,Magnoliopsida,Rosales,,Urticaceae,,,Urtica,Urtica dioica
75795149,Fri Apr 30 2021 14:10:05 GMT+0200 (GMT+2),2021-04-30,2021-04-30 12:10:05 UTC,Pretoria,4318555,michaeltanzer,2021-04-30 12:10:21 UTC,2021-05-06 07:37:46 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/75795149,https://inaturalist-open-data.s3.amazonaws.com/photos/124030842/medium.jpg,,"","",1,0,false,3,"Willendorf, Aggsbach Markt, Niederösterreich, AT",48.3239383722,15.4071363193,21,21,,,false,,,Löwenzahn,Taraxacum officinale,Löwenzahn,Plantae,47602,Tracheophyta,Magnoliopsida,Asterales,,Asteraceae,Cichorioideae,Cichorieae,Taraxacum,Taraxacum officinale
75795273,Fri Apr 30 2021 14:10:43 GMT+0200 (GMT+2),2021-04-30,2021-04-30 12:10:43 UTC,Pretoria,4318555,michaeltanzer,2021-04-30 12:11:06 UTC,2021-04-30 12:44:31 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/75795273,https://inaturalist-open-data.s3.amazonaws.com/photos/124030984/medium.jpg,,"","",1,0,false,3,"Willendorf, Aggsbach Markt, Niederösterreich, AT",48.3238175168,15.407288341,36,36,,,false,,,Bienen,Anthophila,Bienen,Insecta,630955,Arthropoda,Insecta,Hymenoptera,Apoidea,,,,,
75796166,Fri Apr 30 2021 14:16:05 GMT+0200 (GMT+2),2021-04-30,2021-04-30 12:16:05 UTC,Pretoria,4318555,michaeltanzer,2021-04-30 12:16:32 UTC,2021-04-30 12:17:02 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/75796166,https://inaturalist-open-data.s3.amazonaws.com/photos/124032230/medium.jpg,,"","",0,0,false,3,"Willendorf, Aggsbach Markt, Niederösterreich, AT",48.3231683193,15.407468925,7,7,,,false,,,"",Potentilla,Fingerkräuter,Plantae,53186,Tracheophyta,Magnoliopsida,Rosales,,Rosaceae,Rosoideae,Potentilleae,Potentilla,
75796223,2021-04-30 14:16:33,2021-04-30,2021-04-30 14:16:33 UTC,UTC,4227869,michael_wagner1,2021-04-30 12:16:54 UTC,2021-04-30 12:33:34 UTC,needs_id,,https://www.inaturalist.org/observations/75796223,https://static.inaturalist.org/photos/124032234/medium.jpeg,,"",,0,0,false,2,"Willendorf/Wachau Bundesstraße, 3641, Österreich",48.32312,15.4074483333,3,3,,,false,,,Frühlings-Fingerkraut,Potentilla verna,Frühlings-Fingerkraut,Plantae,204391,Tracheophyta,Magnoliopsida,Rosales,,Rosaceae,Rosoideae,Potentilleae,Potentilla,Potentilla verna
75796527,2021-04-30 14:18:20,2021-04-30,2021-04-30 12:18:20 UTC,Vienna,4227869,michael_wagner1,2021-04-30 12:19:14 UTC,2021-08-20 08:00:19 UTC,casual,,https://www.inaturalist.org/observations/75796527,https://static.inaturalist.org/photos/124032759/medium.jpeg,,"",,2,0,true,2,"Willendorf/Wachau Bundesstraße, 3641, Österreich",48.3230916667,15.40691,2,2,,,false,,,Pensamientos,Viola × wittrockiana,Garten-Stiefmütterchen,Plantae,171203,Tracheophyta,Magnoliopsida,Malpighiales,,Violaceae,,,Viola,
75797547,Fri Apr 30 2021 14:25:45 GMT+0200 (GMT+2),2021-04-30,2021-04-30 12:25:45 UTC,Pretoria,4318555,michaeltanzer,2021-04-30 12:26:03 UTC,2021-04-30 20:59:04 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/75797547,https://inaturalist-open-data.s3.amazonaws.com/photos/124034583/medium.jpg,,"","",1,0,false,3,"Naturpark Jauerling, Willendorf in der Wachau, Niederösterreich, AT",48.3218373433,15.4012030291,7,7,,,false,,,Wiesenschaumkraut,Cardamine pratensis,Wiesenschaumkraut,Plantae,54531,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,Cardamineae,Cardamine,Cardamine pratensis
75797768,Fri Apr 30 2021 14:26:51 GMT+0200 (GMT+2),2021-04-30,2021-04-30 12:26:51 UTC,Pretoria,4318555,michaeltanzer,2021-04-30 12:27:26 UTC,2021-04-30 12:27:50 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/75797768,https://inaturalist-open-data.s3.amazonaws.com/photos/124034955/medium.jpg,,"","",0,0,false,3,"Naturpark Jauerling, Willendorf in der Wachau, Niederösterreich, AT",48.3217723677,15.4009930994,8,8,,,false,,,"",Myosotis sylvatica,Wald-Vergissmeinnicht,Plantae,55826,Tracheophyta,Magnoliopsida,Boraginales,,Boraginaceae,Cynoglossoideae,Myosotideae,Myosotis,Myosotis sylvatica
75798153,2021-04-30 14:27:57,2021-04-30,2021-04-30 12:27:57 UTC,Vienna,4227869,michael_wagner1,2021-04-30 12:29:21 UTC,2021-04-30 12:30:06 UTC,needs_id,,https://www.inaturalist.org/observations/75798153,https://static.inaturalist.org/photos/124035488/medium.jpeg,,"",,0,0,false,2,"Aggsbach Markt, 3641, Österreich",48.3218216667,15.4011483333,8,8,,,false,,,Bleiche Segge,Carex pallescens,Bleiche Segge,Plantae,160055,Tracheophyta,Liliopsida,Poales,,Cyperaceae,Cyperoideae,Cariceae,Carex,Carex pallescens
