id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_tribe_name,taxon_genus_name,taxon_species_name
75744437,2021-04-30 06:20:14,2021-04-30,2021-04-30 04:20:14 UTC,Vienna,4258417,franz_stoettinger,2021-04-30 04:24:58 UTC,2021-05-07 16:34:39 UTC,research,,https://www.inaturalist.org/observations/75744437,https://static.inaturalist.org/photos/123953842/medium.jpeg,,"",Die genaue Unterart der Molche konnte ich noch nicht bestimmen.Vermutlich Teichmolch?,1,0,false,2,"Leonding, Österreich",48.2759616351,14.2178894207,180,180,,open,false,gps,gps,Smooth Newt,Lissotriton vulgaris,Teichmolch,Amphibia,556656,Chordata,Amphibia,Caudata,,Salamandridae,Pleurodelinae,,Lissotriton,Lissotriton vulgaris
75753873,2021-04-30 08:11:34,2021-04-30,2021-04-30 06:11:34 UTC,Vienna,2914919,juliawoeger,2021-04-30 06:13:01 UTC,2021-05-06 15:11:15 UTC,needs_id,,https://www.inaturalist.org/observations/75753873,https://static.inaturalist.org/photos/123969594/medium.jpeg,,"",,0,0,false,2,"St Magdalena, 4040 Linz, Österreich",48.337011703,14.3123819532,4,4,,,false,,,,Stylommatophora,Landlungenschnecken,Mollusca,47485,Mollusca,Gastropoda,Stylommatophora,,,,,,
75754008,2021-04-30 08:14:18,2021-04-30,2021-04-30 06:14:18 UTC,Vienna,2914919,juliawoeger,2021-04-30 06:15:06 UTC,2021-04-30 23:10:47 UTC,research,,https://www.inaturalist.org/observations/75754008,https://static.inaturalist.org/photos/123969867/medium.jpeg,,"",,2,0,false,2,"St Magdalena, 4040 Linz, Österreich",48.3365858,14.3128442,21,21,,open,false,,,Roman Snail,Helix pomatia,Weinbergschnecke,Mollusca,61523,Mollusca,Gastropoda,Stylommatophora,Helicoidea,Helicidae,Helicinae,Helicini,Helix,Helix pomatia
75754407,Fri Apr 30 2021 08:19:07 GMT+0200 (GMT+2),2021-04-30,2021-04-30 06:19:07 UTC,Pretoria,4142653,vanessapi,2021-04-30 06:19:46 UTC,2021-05-29 16:51:26 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/75754407,https://inaturalist-open-data.s3.amazonaws.com/photos/123970487/medium.jpg,,"","",3,0,false,3,"Dimmelstraße, Linz, Oberösterreich, AT",48.3021396195,14.2763314641,16,16,,open,false,,,Bänderschnecken,Cepaea,Bänderschnecken,Mollusca,48587,Mollusca,Gastropoda,Stylommatophora,Helicoidea,Helicidae,Helicinae,Allognathini,Cepaea,
75757213,2021-04-30 08:51:14,2021-04-30,2021-04-30 06:51:14 UTC,Vienna,2176615,johannesvolkmer,2021-04-30 06:51:49 UTC,2021-04-30 08:55:14 UTC,research,,https://www.inaturalist.org/observations/75757213,https://static.inaturalist.org/photos/123974888/medium.jpeg,,"",,2,0,false,2,"Elmberg, Linz, Österreich",48.3356483,14.3381925,1500,1500,,open,false,,,Brown-lipped Snail,Cepaea nemoralis,Hainschnirkelschnecke,Mollusca,48586,Mollusca,Gastropoda,Stylommatophora,Helicoidea,Helicidae,Helicinae,Allognathini,Cepaea,Cepaea nemoralis
75757550,2021-04-30 08:55:13,2021-04-30,2021-04-30 06:55:13 UTC,Vienna,2176615,johannesvolkmer,2021-04-30 06:55:59 UTC,2021-04-30 06:56:12 UTC,needs_id,,https://www.inaturalist.org/observations/75757550,https://static.inaturalist.org/photos/123975501/medium.jpeg,,"",,0,0,false,2,"Elmberg, Linz, Österreich",48.3356483,14.3381925,1500,1500,,,false,,,Arion,Arion,,Mollusca,54582,Mollusca,Gastropoda,Stylommatophora,Arionoidea,Arionidae,,,Arion,
75757756,2021-04-30 08:57:22,2021-04-30,2021-04-30 06:57:22 UTC,Vienna,2176615,johannesvolkmer,2021-04-30 06:58:05 UTC,2021-04-30 08:51:08 UTC,research,,https://www.inaturalist.org/observations/75757756,https://static.inaturalist.org/photos/123975822/medium.jpeg,,"",,1,0,false,2,"Katzbach, Linz, Österreich",48.3329496,14.3394173,600,600,,open,false,,,Gefleckte Schüsselschnecke,Discus rotundatus,Gefleckte Schüsselschnecke,Mollusca,218587,Mollusca,Gastropoda,Stylommatophora,Punctoidea,Discidae,,,Discus,Discus rotundatus
75757812,2021-04-30 08:58:17,2021-04-30,2021-04-30 06:58:17 UTC,Vienna,2176615,johannesvolkmer,2021-04-30 06:58:49 UTC,2021-05-11 18:18:47 UTC,needs_id,,https://www.inaturalist.org/observations/75757812,https://static.inaturalist.org/photos/123975908/medium.jpeg,,"",,1,0,false,2,"Elmberg, Linz, Österreich",48.3329621836,14.3478062346,19,19,,,false,,,Cylindroiulus,Cylindroiulus,,Animalia,133847,Arthropoda,Diplopoda,Julida,Juloidea,Julidae,,,Cylindroiulus,
75757890,2021-04-30 08:59:10,2021-04-30,2021-04-30 06:59:10 UTC,Vienna,2176615,johannesvolkmer,2021-04-30 06:59:44 UTC,2021-05-22 10:25:06 UTC,needs_id,,https://www.inaturalist.org/observations/75757890,https://static.inaturalist.org/photos/123976107/medium.jpeg,,"",,1,0,false,2,"Elmberg, Linz, Österreich",48.3353499,14.3380389,1299,1299,,,false,,,Trachelipus ratzeburgii,Trachelipus ratzeburgii,,Animalia,544095,Arthropoda,Malacostraca,Isopoda,,Trachelipodidae,,,Trachelipus,Trachelipus ratzeburgii
75758002,2021-04-30 09:00:26,2021-04-30,2021-04-30 07:00:26 UTC,Vienna,2176615,johannesvolkmer,2021-04-30 07:00:49 UTC,2021-04-30 08:51:04 UTC,research,,https://www.inaturalist.org/observations/75758002,https://static.inaturalist.org/photos/123976213/medium.jpeg,,"",,1,0,false,2,"Elmberg, Linz, Österreich",48.3334813,14.3427406,300,300,,open,false,,,Gefleckte Schnirkelschnecke,Arianta arbustorum,Gefleckte Schnirkelschnecke,Mollusca,55617,Mollusca,Gastropoda,Stylommatophora,Helicoidea,Helicidae,Ariantinae,,Arianta,Arianta arbustorum
