id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_tribe_name,taxon_genus_name,taxon_species_name
75863570,2021-04-30 18:26:40,2021-04-30,2021-04-30 16:26:40 UTC,Vienna,1776852,blackindia77,2021-04-30 16:52:45 UTC,2021-04-30 17:36:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/75863570,https://inaturalist-open-data.s3.amazonaws.com/photos/124132778/medium.jpeg,,"",,1,0,false,2,"5310 St. Lorenz, Österreich",47.8391734083,13.3470880361,,,,,false,gps,gps,Rote Mauerbiene,Osmia bicornis,Rote Mauerbiene,Insecta,876599,Arthropoda,Insecta,Hymenoptera,Apoidea,Megachilidae,Megachilinae,Osmiini,Osmia,Osmia bicornis
76072074,2021/05/01 5:34 AM CEST,2021-05-01,2021-05-01 03:34:00 UTC,Vienna,1479221,mondseeirrsee,2021-05-01 08:32:56 UTC,2021-05-01 11:11:08 UTC,research,CC-BY,https://www.inaturalist.org/observations/76072074,https://inaturalist-open-data.s3.amazonaws.com/photos/124464919/medium.jpeg,,"","",1,0,false,,"Vöcklabruck, Österreich",47.9340615515,13.3015617106,31,31,,open,false,,,srnec obecný,Capreolus capreolus,Reh,Mammalia,42184,Chordata,Mammalia,Artiodactyla,,Cervidae,Capreolinae,Capreolini,Capreolus,Capreolus capreolus
76072075,2021/05/01 5:38 AM CEST,2021-05-01,2021-05-01 03:38:00 UTC,Vienna,1479221,mondseeirrsee,2021-05-01 08:32:57 UTC,2021-05-01 08:34:13 UTC,research,CC-BY,https://www.inaturalist.org/observations/76072075,https://inaturalist-open-data.s3.amazonaws.com/photos/124464987/medium.jpeg,,"","",1,0,false,,"Vöcklabruck, Österreich",47.9340636083,13.3015634986,2,2,,open,false,,,Rabenkrähe,Corvus corone,Rabenkrähe,Aves,204496,Chordata,Aves,Passeriformes,,Corvidae,,,Corvus,Corvus corone
76072076,2021/05/01 5:42 AM CEST,2021-05-01,2021-05-01 03:42:00 UTC,Vienna,1479221,mondseeirrsee,2021-05-01 08:32:57 UTC,2021-05-01 08:34:03 UTC,research,CC-BY,https://www.inaturalist.org/observations/76072076,https://inaturalist-open-data.s3.amazonaws.com/photos/124465075/medium.jpeg,,"","",1,0,false,,"Vöcklabruck, Österreich",47.9340698987,13.3017445482,8,8,,open,false,,,Großer Brachvogel,Numenius arquata,Großer Brachvogel,Aves,3896,Chordata,Aves,Charadriiformes,,Scolopacidae,,,Numenius,Numenius arquata
76072078,2021/05/01 5:42 AM CEST,2021-05-01,2021-05-01 03:42:00 UTC,Vienna,1479221,mondseeirrsee,2021-05-01 08:32:58 UTC,2021-05-01 08:33:49 UTC,research,CC-BY,https://www.inaturalist.org/observations/76072078,https://inaturalist-open-data.s3.amazonaws.com/photos/124465119/medium.jpeg,,"","",1,0,false,,"Vöcklabruck, Österreich",47.9340384497,13.3016949268,2,2,,open,false,,,Kiebitz,Vanellus vanellus,Kiebitz,Aves,4857,Chordata,Aves,Charadriiformes,,Charadriidae,,,Vanellus,Vanellus vanellus
76072080,2021/05/01 5:45 AM CEST,2021-05-01,2021-05-01 03:45:00 UTC,Vienna,1479221,mondseeirrsee,2021-05-01 08:32:58 UTC,2021-05-01 08:33:47 UTC,research,CC-BY,https://www.inaturalist.org/observations/76072080,https://inaturalist-open-data.s3.amazonaws.com/photos/124465197/medium.jpeg,,"","",1,0,false,,"Vöcklabruck, Österreich",47.9341175195,13.3016479882,2,2,,open,false,,,Bachstelze,Motacilla alba,Bachstelze,Aves,13695,Chordata,Aves,Passeriformes,,Motacillidae,,,Motacilla,Motacilla alba
76072081,2021/05/01 6:32 AM CEST,2021-05-01,2021-05-01 04:32:00 UTC,Vienna,1479221,mondseeirrsee,2021-05-01 08:32:58 UTC,2021-05-01 08:33:46 UTC,research,CC-BY,https://www.inaturalist.org/observations/76072081,https://inaturalist-open-data.s3.amazonaws.com/photos/124465277/medium.jpeg,,"","",1,0,false,,"4893 Zell am Moos, Österreich",47.9056375678,13.3151558358,15,15,,open,false,,,Star,Sturnus vulgaris,Star,Aves,14850,Chordata,Aves,Passeriformes,,Sturnidae,,,Sturnus,Sturnus vulgaris
76072085,2021/05/01 6:32 AM CEST,2021-05-01,2021-05-01 04:32:00 UTC,Vienna,1479221,mondseeirrsee,2021-05-01 08:32:59 UTC,2021-05-01 12:52:11 UTC,research,CC-BY,https://www.inaturalist.org/observations/76072085,https://inaturalist-open-data.s3.amazonaws.com/photos/124465463/medium.jpeg,,"","",2,0,false,,"4893 Zell am Moos, Österreich",47.905902982,13.3151465124,122,122,,open,false,,,Stieglitz,Carduelis carduelis,Stieglitz,Aves,9398,Chordata,Aves,Passeriformes,,Fringillidae,,,Carduelis,Carduelis carduelis
76072086,2021/05/01 6:35 AM CEST,2021-05-01,2021-05-01 04:35:00 UTC,Vienna,1479221,mondseeirrsee,2021-05-01 08:32:59 UTC,2021-05-01 10:55:56 UTC,research,CC-BY,https://www.inaturalist.org/observations/76072086,https://inaturalist-open-data.s3.amazonaws.com/photos/124465477/medium.jpeg,,"","",2,0,false,,"4893 Zell am Moos, Österreich",47.9062455337,13.314485497,122,122,,open,false,,,Amsel,Turdus merula,Amsel,Aves,12716,Chordata,Aves,Passeriformes,,Turdidae,,,Turdus,Turdus merula
76072088,2021/05/01 6:40 AM CEST,2021-05-01,2021-05-01 04:40:00 UTC,Vienna,1479221,mondseeirrsee,2021-05-01 08:32:59 UTC,2021-05-01 08:33:39 UTC,research,CC-BY,https://www.inaturalist.org/observations/76072088,https://inaturalist-open-data.s3.amazonaws.com/photos/124465510/medium.jpeg,,"","",1,0,false,,"4893 Zell am Moos, Österreich",47.904708238,13.312235974,31,31,,open,false,,,Haubentaucher,Podiceps cristatus,Haubentaucher,Aves,4208,Chordata,Aves,Podicipediformes,,Podicipedidae,,,Podiceps,Podiceps cristatus
