id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_tribe_name,taxon_genus_name,taxon_species_name
75755276,Fri Apr 30 2021 06:24:13 GMT+0200 (GMT+2),2021-04-30,2021-04-30 04:24:13 UTC,Pretoria,4203613,arnoci,2021-04-30 06:30:00 UTC,2021-04-30 23:04:10 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/75755276,https://inaturalist-open-data.s3.amazonaws.com/photos/123971909/medium.jpg,,"","",1,0,false,3,"Keltenweg, Donnerskirchen, Burgenland, AT",47.8955466813,16.6345122177,5,5,,open,false,,,Roman Snail,Helix pomatia,Weinbergschnecke,Mollusca,61523,Mollusca,Gastropoda,Stylommatophora,Helicoidea,Helicidae,Helicinae,Helicini,Helix,Helix pomatia
75755301,Fri Apr 30 2021 06:32:49 GMT+0200 (GMT+2),2021-04-30,2021-04-30 04:32:49 UTC,Pretoria,4203613,arnoci,2021-04-30 06:30:21 UTC,2021-05-01 08:23:24 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/75755301,,https://static.inaturalist.org/sounds/198968.m4a?1619764223,"","",1,0,false,3,"Keltenweg, Donnerskirchen, Burgenland, AT",47.895902535,16.6348873917,5,5,,open,false,,,Nachtigall,Luscinia megarhynchos,Nachtigall,Aves,13079,Chordata,Aves,Passeriformes,,Muscicapidae,,,Luscinia,Luscinia megarhynchos
75755317,Fri Apr 30 2021 06:29:47 GMT+0200 (GMT+2),2021-04-30,2021-04-30 04:29:47 UTC,Pretoria,4203613,arnoci,2021-04-30 06:30:31 UTC,2021-04-30 07:20:59 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/75755317,https://inaturalist-open-data.s3.amazonaws.com/photos/123971971/medium.jpg,,"","",1,0,false,3,"Keltenweg, Donnerskirchen, Burgenland, AT",47.8962505217,16.6349940864,22,22,,,false,,,Echte Kugelblume,Globularia bisnagarica,Echte Kugelblume,Plantae,874359,Tracheophyta,Magnoliopsida,Lamiales,,Plantaginaceae,,Globularieae,Globularia,Globularia bisnagarica
75757952,Fri Apr 30 2021 08:58:41 GMT+0200 (GMT+2),2021-04-30,2021-04-30 06:58:41 UTC,Pretoria,4270909,ranger_npneusiedlersee,2021-04-30 07:00:22 UTC,2021-05-08 11:47:35 UTC,needs_id,,https://www.inaturalist.org/observations/75757952,https://static.inaturalist.org/photos/123976092/medium.jpg,,"","",1,0,false,3,"Hauswiese, Illmitz, Burgenland, AT",47.7707062353,16.8013884215,19,19,,,false,,,dandelions,Taraxacum officinale,Löwenzahn,Plantae,47602,Tracheophyta,Magnoliopsida,Asterales,,Asteraceae,Cichorioideae,Cichorieae,Taraxacum,Taraxacum officinale
75758213,Fri Apr 30 2021 09:02:01 GMT+0200 (GMT+2),2021-04-30,2021-04-30 07:02:01 UTC,Pretoria,4270909,ranger_npneusiedlersee,2021-04-30 07:02:35 UTC,2021-04-30 07:35:44 UTC,research,,https://www.inaturalist.org/observations/75758213,https://static.inaturalist.org/photos/123976413/medium.jpg,,"","",1,0,false,3,"Hauswiese, Illmitz, Burgenland, AT",47.7705520631,16.8009648685,6,6,,,false,,,Zypressen-Wolfsmilch,Euphorbia cyparissias,Zypressen-Wolfsmilch,Plantae,55766,Tracheophyta,Magnoliopsida,Malpighiales,,Euphorbiaceae,Euphorbioideae,Euphorbieae,Euphorbia,Euphorbia cyparissias
75758329,Fri Apr 30 2021 09:03:31 GMT+0200 (GMT+2),2021-04-30,2021-04-30 07:03:31 UTC,Pretoria,4270909,ranger_npneusiedlersee,2021-04-30 07:03:44 UTC,2021-05-01 08:08:21 UTC,research,,https://www.inaturalist.org/observations/75758329,https://static.inaturalist.org/photos/123976608/medium.jpg,,"","",2,0,false,3,"Hauswiese, Illmitz, Burgenland, AT",47.7705423169,16.8010082752,8,8,,,false,,,Wolliger Schneeball,Viburnum lantana,Wolliger Schneeball,Plantae,124741,Tracheophyta,Magnoliopsida,Dipsacales,,Viburnaceae,,,Viburnum,Viburnum lantana
75758614,Fri Apr 30 2021 09:06:31 GMT+0200 (GMT+2),2021-04-30,2021-04-30 07:06:31 UTC,Pretoria,4270909,ranger_npneusiedlersee,2021-04-30 07:07:10 UTC,2021-04-30 23:04:32 UTC,research,,https://www.inaturalist.org/observations/75758614,https://static.inaturalist.org/photos/123977121/medium.jpg,,"","",1,0,false,3,"Hauswiese, Illmitz, Burgenland, AT",47.7702092019,16.8020252804,5,5,,,false,,,white campion,Silene latifolia,Weiße Lichtnelke,Plantae,79109,Tracheophyta,Magnoliopsida,Caryophyllales,,Caryophyllaceae,Caryophylloideae,Sileneae,Silene,Silene latifolia
75763125,Fri Apr 30 2021 09:49:37 GMT+0200 (GMT+2),2021-04-30,2021-04-30 07:49:37 UTC,Pretoria,4312210,franziskabauer2021,2021-04-30 07:51:02 UTC,2021-05-01 08:08:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/75763125,https://inaturalist-open-data.s3.amazonaws.com/photos/123984219/medium.jpg,,"","",1,0,false,3,"Hauswiese, Illmitz, Burgenland, AT",47.7703347796,16.8018969975,6,6,,open,false,,,Rot-Klee,Trifolium pratense,Rot-Klee,Plantae,51875,Tracheophyta,Magnoliopsida,Fabales,,Fabaceae,Faboideae,Trifolieae,Trifolium,Trifolium pratense
75765616,Fri Apr 30 2021 10:13:08 GMT+0200 (GMT+2),2021-04-30,2021-04-30 08:13:08 UTC,Pretoria,4270909,ranger_npneusiedlersee,2021-04-30 08:13:23 UTC,2021-04-30 23:05:05 UTC,research,,https://www.inaturalist.org/observations/75765616,https://static.inaturalist.org/photos/123988008/medium.jpg,,"","",1,0,false,3,"Obere Hauptstraße, Illmitz, Burgenland, AT",47.7664904373,16.8057648235,3,3,,,false,,,heart-podded hoary cress,Lepidium draba,Pfeilkresse,Plantae,63352,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,Lepidieae,Lepidium,Lepidium draba
75765788,Fri Apr 30 2021 10:14:24 GMT+0200 (GMT+2),2021-04-30,2021-04-30 08:14:24 UTC,Pretoria,4270909,ranger_npneusiedlersee,2021-04-30 08:14:34 UTC,2021-04-30 23:07:55 UTC,research,,https://www.inaturalist.org/observations/75765788,https://static.inaturalist.org/photos/123988250/medium.jpg,,"","",1,0,false,3,"Quergasse, Illmitz, Burgenland, AT",47.766343628,16.8058289459,3,3,,,false,,,shepherd's-purse,Capsella bursa-pastoris,Gewöhnliches Hirtentäschel,Plantae,56121,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,Camelineae,Capsella,Capsella bursa-pastoris
