id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_tribe_name,taxon_genus_name,taxon_species_name
75813371,Fri Apr 30 2021 15:44:29 GMT+0200 (GMT+2),2021-04-30,2021-04-30 13:44:29 UTC,Pretoria,4294888,urb,2021-04-30 13:45:33 UTC,2021-05-07 04:50:04 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/75813371,https://inaturalist-open-data.s3.amazonaws.com/photos/124058769/medium.jpg,,"","",1,0,false,3,"Znojmo, Jihomoravský, CZ",48.8597317197,16.0381739195,5,5,,,false,,,common dog-violet,Viola riviniana,Hain-Veilchen,Plantae,61481,Tracheophyta,Magnoliopsida,Malpighiales,,Violaceae,,,Viola,Viola riviniana
75814994,Fri Apr 30 2021 15:51:57 GMT+0200 (GMT+2),2021-04-30,2021-04-30 13:51:57 UTC,Pretoria,4294888,urb,2021-04-30 13:52:56 UTC,2021-04-30 14:43:02 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/75814994,https://inaturalist-open-data.s3.amazonaws.com/photos/124061315/medium.jpg,,"","",1,0,false,3,"Hradišťská, Znojmo, Jihomoravský, CZ",48.861577042,16.0341443592,43,43,,,false,,,Yellow Anemone,Anemonoides ranunculoides,Gelbe Anemone,Plantae,950596,Tracheophyta,Magnoliopsida,Ranunculales,,Ranunculaceae,Ranunculoideae,Anemoneae,Anemonoides,Anemonoides ranunculoides
75828422,2021-04-30 16:41:06,2021-04-30,2021-04-30 14:41:06 UTC,Prague,4264473,davidgrossmann,2021-04-30 14:42:54 UTC,2021-05-01 12:04:27 UTC,research,CC-BY,https://www.inaturalist.org/observations/75828422,https://inaturalist-open-data.s3.amazonaws.com/photos/124080353/medium.jpeg,,"",,1,0,false,2,"Popice 59, 669 02 Znojmo, Česko",48.81796795,16.01106752,4,4,,,false,,,Kleines Knabenkraut,Anacamptis morio,Kleines Knabenkraut,Plantae,59318,Tracheophyta,Liliopsida,Asparagales,,Orchidaceae,Orchidoideae,Orchideae,Anacamptis,Anacamptis morio
75887661,2021-04-30,2021-04-30,,UTC,4323287,susanne_schiner,2021-04-30 18:23:55 UTC,2021-05-06 05:05:23 UTC,needs_id,,https://www.inaturalist.org/observations/75887661,https://static.inaturalist.org/photos/124171193/medium.jpeg,,"",,1,0,false,2,"2082, Österreich",48.8372936857,15.8872302622,418,418,,,false,gps,gps,Lungenkräuter,Pulmonaria,Lungenkräuter,Plantae,125137,Tracheophyta,Magnoliopsida,Boraginales,,Boraginaceae,Boraginoideae,Boragineae,Pulmonaria,
75887782,2021-04-30,2021-04-30,,UTC,4323287,susanne_schiner,2021-04-30 18:24:25 UTC,2021-05-03 22:20:08 UTC,needs_id,,https://www.inaturalist.org/observations/75887782,https://static.inaturalist.org/photos/124171303/medium.jpeg,,"",,0,0,false,2,"2082, Österreich",48.8382068455,15.8880252019,555,555,,,false,gps,gps,,Lecanoromycetes,,Fungi,54743,Ascomycota,Lecanoromycetes,,,,,,,
75887838,2021-04-30,2021-04-30,,UTC,4323287,susanne_schiner,2021-04-30 18:24:43 UTC,2021-05-01 09:00:44 UTC,research,,https://www.inaturalist.org/observations/75887838,https://static.inaturalist.org/photos/124171415/medium.jpeg,,"",,2,0,false,2,"2082, Österreich",48.8438348345,15.8909793198,502,502,,,false,gps,gps,Gewöhnliche Pestwurz,Petasites hybridus,Gewöhnliche Pestwurz,Plantae,55850,Tracheophyta,Magnoliopsida,Asterales,,Asteraceae,Asteroideae,Senecioneae,Petasites,Petasites hybridus
75887918,2021-04-30,2021-04-30,,UTC,4323287,susanne_schiner,2021-04-30 18:25:00 UTC,2021-05-06 17:23:45 UTC,research,,https://www.inaturalist.org/observations/75887918,https://static.inaturalist.org/photos/124171485/medium.jpeg,,"",,2,0,false,2,"2082, Österreich",48.839489831,15.8852749318,623,623,,,false,gps,gps,Осока волосистая,Carex pilosa,Wimper-Segge,Plantae,492233,Tracheophyta,Liliopsida,Poales,,Cyperaceae,Cyperoideae,Cariceae,Carex,Carex pilosa
75888819,2021-04-30,2021-04-30,,UTC,4323287,susanne_schiner,2021-04-30 18:29:03 UTC,2021-05-17 14:06:16 UTC,research,,https://www.inaturalist.org/observations/75888819,https://static.inaturalist.org/photos/124173199/medium.jpeg,,"",,2,0,false,2,"2082, Österreich",48.8419135999,15.8839868009,421,421,,,false,gps,gps,Tower Cress,Pseudoturritis turrita,Turm-Gänsekresse,Plantae,334304,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,Stevenieae,Pseudoturritis,Pseudoturritis turrita
75888874,2021-04-30,2021-04-30,,UTC,4323287,susanne_schiner,2021-04-30 18:29:19 UTC,2021-04-30 19:25:03 UTC,research,,https://www.inaturalist.org/observations/75888874,https://static.inaturalist.org/photos/124173373/medium.jpeg,,"",,1,0,false,2,"2082, Österreich",48.8442247211,15.9003643692,420,420,,open,false,gps,gps,Buchfink,Fringilla coelebs,Buchfink,Aves,10070,Chordata,Aves,Passeriformes,,Fringillidae,,,Fringilla,Fringilla coelebs
75888992,2021-04-30,2021-04-30,,UTC,4323287,susanne_schiner,2021-04-30 18:29:55 UTC,2021-05-05 06:00:21 UTC,research,,https://www.inaturalist.org/observations/75888992,https://static.inaturalist.org/photos/124173587/medium.jpeg,,"",,3,0,false,2,"2082, Österreich",48.843978036,15.8914597705,68,68,,open,false,gps,gps,grass snake,Natrix natrix,Ringelnatter,Reptilia,966787,Chordata,Reptilia,Squamata,,Colubridae,Natricinae,,Natrix,Natrix natrix
75889506,2021-04-30,2021-04-30,,UTC,4323287,susanne_schiner,2021-04-30 18:31:50 UTC,2021-05-06 05:06:05 UTC,research,,https://www.inaturalist.org/observations/75889506,https://static.inaturalist.org/photos/124174396/medium.jpeg,,"",,2,0,false,2,"2082, Österreich",48.8487634669,15.8938533068,24,24,,,false,gps,gps,Kriechender Günsel,Ajuga reptans,Kriechender Günsel,Plantae,56099,Tracheophyta,Magnoliopsida,Lamiales,,Lamiaceae,Ajugoideae,,Ajuga,Ajuga reptans
75891420,2021-04-30,2021-04-30,,UTC,4323287,susanne_schiner,2021-04-30 18:40:12 UTC,2021-05-04 00:09:04 UTC,needs_id,,https://www.inaturalist.org/observations/75891420,https://static.inaturalist.org/photos/124177698/medium.jpeg,,"",,0,0,false,2,"2082, Österreich",48.8439387604,15.9014231712,70,70,,,false,gps,gps,,Equisetum,Schachtelhalm,Plantae,47746,Tracheophyta,Polypodiopsida,Equisetales,,Equisetaceae,,,Equisetum,
75891468,2021-04-30,2021-04-30,,UTC,4323287,susanne_schiner,2021-04-30 18:40:22 UTC,2021-05-01 06:51:04 UTC,research,,https://www.inaturalist.org/observations/75891468,https://static.inaturalist.org/photos/124177778/medium.jpeg,,"",,1,0,false,2,"2082, Österreich",48.8411106181,15.8908918127,218,218,,,false,gps,gps,Kriechender Günsel,Ajuga reptans,Kriechender Günsel,Plantae,56099,Tracheophyta,Magnoliopsida,Lamiales,,Lamiaceae,Ajugoideae,,Ajuga,Ajuga reptans
76036384,2021-05-01 05:48:05,2021-05-01,2021-05-01 03:48:05 UTC,Vienna,4323428,christian_hardegg,2021-05-01 04:14:53 UTC,2021-05-01 07:05:36 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/76036384,https://inaturalist-open-data.s3.amazonaws.com/photos/124411186/medium.jpeg,,"",,1,0,false,2,"Hardegg NÖ Nationalparkhaus, 2082, Österreich",48.8461094204,15.8592332568,24,24,,,false,,,Liguster,Ligustrum vulgare,Liguster,Plantae,119805,Tracheophyta,Magnoliopsida,Lamiales,,Oleaceae,,,Ligustrum,Ligustrum vulgare
76036408,2021-05-01 05:50:30,2021-05-01,2021-05-01 03:50:30 UTC,Vienna,4323428,christian_hardegg,2021-05-01 04:15:05 UTC,2021-05-01 07:05:39 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/76036408,https://inaturalist-open-data.s3.amazonaws.com/photos/124411241/medium.jpeg,,"",,1,0,false,2,"Hardegg NÖ Burg, 2082, Österreich",48.8502704,15.8603883,2200,2200,,,false,,,Echte Schlüsselblume,Primula veris,Echte Schlüsselblume,Plantae,55819,Tracheophyta,Magnoliopsida,Ericales,,Primulaceae,Primuloideae,Primuleae,Primula,Primula veris
76036433,2021-05-01 05:52:27,2021-05-01,2021-05-01 03:52:27 UTC,Vienna,4323428,christian_hardegg,2021-05-01 04:15:26 UTC,2021-05-01 05:47:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/76036433,https://inaturalist-open-data.s3.amazonaws.com/photos/124411317/medium.jpeg,,"",,1,0,false,2,"Hardegg NÖ Nationalparkhaus, 2082, Österreich",48.8463572812,15.8592292989,12,12,,,false,,,Fly Honeysuckle,Lonicera xylosteum,Rote Heckenkirsche,Plantae,124548,Tracheophyta,Magnoliopsida,Dipsacales,,Caprifoliaceae,Caprifolioideae,,Lonicera,Lonicera xylosteum
76036565,2021-05-01 05:56:03,2021-05-01,2021-05-01 03:56:03 UTC,Vienna,4323428,christian_hardegg,2021-05-01 04:15:57 UTC,2021-05-01 07:06:01 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/76036565,https://inaturalist-open-data.s3.amazonaws.com/photos/124411440/medium.jpeg,,"",,1,0,false,2,"Hardegg NÖ Burg, 2082, Österreich",48.8502704,15.8603883,2200,2200,,,false,,,Gewöhnliche Berberitze,Berberis vulgaris,Gewöhnliche Berberitze,Plantae,75758,Tracheophyta,Magnoliopsida,Ranunculales,,Berberidaceae,Berberidoideae,Berberideae,Berberis,Berberis vulgaris
76036811,2021-05-01 06:04:54,2021-05-01,2021-05-01 04:04:54 UTC,Vienna,4323428,christian_hardegg,2021-05-01 04:17:11 UTC,2021-05-01 07:29:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/76036811,https://inaturalist-open-data.s3.amazonaws.com/photos/124411767/medium.jpeg,,"",,1,0,false,2,"Hardegg NÖ Burg, 2082, Österreich",48.8502704,15.8603883,2200,2200,,,false,,,Sweet Woodruff,Galium odoratum,Waldmeister,Plantae,56065,Tracheophyta,Magnoliopsida,Gentianales,,Rubiaceae,Rubioideae,Rubieae,Galium,Galium odoratum
76036850,2021-05-01 06:05:50,2021-05-01,2021-05-01 04:05:50 UTC,Vienna,4323428,christian_hardegg,2021-05-01 04:17:21 UTC,2021-05-01 07:29:16 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/76036850,https://inaturalist-open-data.s3.amazonaws.com/photos/124411814/medium.jpeg,,"",,1,0,false,2,"Hardegg NÖ Burg, 2082, Österreich",48.8502704,15.8603883,2200,2200,,,false,,,Ramsons,Allium ursinum,Bärlauch,Plantae,56152,Tracheophyta,Liliopsida,Asparagales,,Amaryllidaceae,Allioideae,Allieae,Allium,Allium ursinum
