id;obs_id;obs_name
75765247;1731739,2626695;frank007,brothernorbert
75765494;1731739,2886668,2426747,1731739;frank007,frank375,bernhardhausdorf,frank007
75765871;1731739,2541735;frank007,nattrack
75766045;1731739,2541735;frank007,nattrack
75766685;1731739;frank007
75766808;1731739,3322988;frank007,lublamai
75767000;1731739,2477443;frank007,gabrielmayrhofer
75767111;1731739,2477443;frank007,gabrielmayrhofer
75767304;1731739,2477443;frank007,gabrielmayrhofer
75767675;1731739,3078378;frank007,paulsch
75768311;1731739,2477443,2477443,2626695,1479221;frank007,gabrielmayrhofer,gabrielmayrhofer,brothernorbert,mondseeirrsee
75768592;1731739,2477443;frank007,gabrielmayrhofer
75768679;1731739;frank007
75768921;1731739,2477443;frank007,gabrielmayrhofer
75770493;1731739,4279367;frank007,ma_fink
75771108;1731739;frank007
75771610;4317973,4317364,155951;seebachgarten,lily2281,tom-kirschey
75771729;1731739,2298616;frank007,talum
75772220;1731739,2477443;frank007,gabrielmayrhofer
75772437;4317973,3666055;seebachgarten,cleeb
75772545;1731739,1731739;frank007,frank007
75773443;2477443,2626695;gabrielmayrhofer,brothernorbert
75773984;1731739,3078378;frank007,paulsch
75774285;1731739,2483447;frank007,katrin_simon
75777099;2298616,4308742,1479221;talum,zwol,mondseeirrsee
75779997;1731739;frank007
75784123;2298616,960916,3782665;talum,szucsich,paolosol
75784456;2298616;talum
75784781;2298616,2477443;talum,gabrielmayrhofer
75784922;2298616,2477443;talum,gabrielmayrhofer
75785205;2298616,2477443,2626695;talum,gabrielmayrhofer,brothernorbert
75785626;2298616,2840315,1731739,4387632;talum,bumble_being,frank007,saber_animal
75786239;2298616,1731739,4279367,4324335,4324335,1479221;talum,frank007,ma_fink,don_guz,don_guz,mondseeirrsee
75788891;4308742,2477443;zwol,gabrielmayrhofer
75788893;4308742,2477443;zwol,gabrielmayrhofer
75788894;4308742;zwol
75788896;4308742,2477443;zwol,gabrielmayrhofer
75788898;4308742,2477443,2298616,2626695,4308742;zwol,gabrielmayrhofer,talum,brothernorbert,zwol
75788899;4308742,2477443;zwol,gabrielmayrhofer
75788902;4308742,2477443;zwol,gabrielmayrhofer
75788903;4308742,4174893;zwol,ducco
75803800;4311700;hesi
75804118;4311700,4311700;hesi,hesi
75846033;2298616,1530852;talum,lupoli_roland
75846494;2298616,960916,396990,2032730;talum,szucsich,kostaszontanos,waldgeist
75847054;2298616,385982,385982,1530852;talum,gianfrancodramis,gianfrancodramis,lupoli_roland
75847807;2298616,4279367,1451786;talum,ma_fink,punishman
75870937;2298616,2426747,684477;talum,bernhardhausdorf,sobam
75871678;2298616,2955858,2403682;talum,guentherwoess,thomaszuna-kratky
75873826;2298616,2595369;talum,bagous
75886581;2298616;talum
75887456;2770477,1290751;amelanchier2,esant
75889685;2298616,4279367,4324335;talum,ma_fink,don_guz
75891923;2298616,4279367;talum,ma_fink
75893930;2770477,1731739;amelanchier2,frank007
75894098;2770477,1261247,2626695;amelanchier2,epsilon,brothernorbert
75894156;2298616,1104294,1859910,3666055,155951;talum,fishapod,frankielee91,cleeb,tom-kirschey
75895316;4317973,2626695,2438113;seebachgarten,brothernorbert,pastabaum
75895773;4317973,2626695;seebachgarten,brothernorbert
75895887;4317973,2626695,4317973;seebachgarten,brothernorbert,seebachgarten
75896003;4317973,2626695;seebachgarten,brothernorbert
75899213;2298616,2437460;talum,alexmaringer
75900407;2832565,1546239;grashaufen,louis_raginwulf
75900468;2298616;talum
75902732;2832565,31747;grashaufen,kjeld_brem
75904262;2832565,3638742,2626695;grashaufen,jf920,brothernorbert
75904979;2832565,2438113;grashaufen,pastabaum
75906929;2298616,1476490;talum,zdekanovkov
75908644;2298616,1476490,330465;talum,zdekanovkov,manval
75909949;2298616,960916;talum,szucsich
75910703;2832565,1731739;grashaufen,frank007
75913543;2832565;grashaufen
75913687;2770477,2438113;amelanchier2,pastabaum
75913690;2770477;amelanchier2
75914152;2298616,2438113;talum,pastabaum
75914153;2298616,270365,3895460;talum,malacoderm,hokli
75915783;2770477,1261247,2626695;amelanchier2,epsilon,brothernorbert
75916721;2832565,2626695;grashaufen,brothernorbert
75918299;2298616;talum
75918892;2832565,2626695;grashaufen,brothernorbert
75919268;2770477,2438113,1731739;amelanchier2,pastabaum,frank007
75919272;2770477,2438113,2626695;amelanchier2,pastabaum,brothernorbert
75920945;2770477,2438113,2626695;amelanchier2,pastabaum,brothernorbert
75920950;2770477,1731739;amelanchier2,frank007
75922758;2298616,2536814,2536814,4008332;talum,tmaximo,tmaximo,oe5hfm
75923270;2298616;talum
75923801;2770477,2438113,2626695;amelanchier2,pastabaum,brothernorbert
75923803;2770477;amelanchier2
75923807;2770477,2438113,4235899,2626695;amelanchier2,pastabaum,ninano,brothernorbert
75926037;2770477;amelanchier2
75926040;2770477;amelanchier2
75926041;2770477;amelanchier2
75926047;2770477,2626695;amelanchier2,brothernorbert
75926048;2770477,2626695,2477443;amelanchier2,brothernorbert,gabrielmayrhofer
75926049;2770477,4235899,1731739,2626695;amelanchier2,ninano,frank007,brothernorbert
75926686;2298616,2298616,2626695;talum,talum,brothernorbert
75928054;2770477,4071665;amelanchier2,thomasfriedrich
75928055;2770477,2626695;amelanchier2,brothernorbert
75928144;2298616,2626695;talum,brothernorbert
75929468;2770477,1261247,1731739;amelanchier2,epsilon,frank007
75929469;2770477,1261247,1731739;amelanchier2,epsilon,frank007
75929471;2770477,960916,3859503,960916;amelanchier2,szucsich,doppelhans,szucsich
75929476;2770477,2626695;amelanchier2,brothernorbert
75929921;2298616,2626695;talum,brothernorbert
75930068;4317973,330465,1530852;seebachgarten,manval,lupoli_roland
75930766;2298616,2626695,2477443;talum,brothernorbert,gabrielmayrhofer
75931317;2770477,2626695;amelanchier2,brothernorbert
75932124;2298616,2626695;talum,brothernorbert
75932664;2770477,2626695;amelanchier2,brothernorbert
75932855;2298616,2438113;talum,pastabaum
75933406;2770477,2626695;amelanchier2,brothernorbert
75933438;2298616,2626695,933540;talum,brothernorbert,duch
75933730;2770477,2298616;amelanchier2,talum
75934441;2770477,1479221;amelanchier2,mondseeirrsee
