id;obs_id;obs_name
75702712;2438113,740345;pastabaum,tusee
75703592;477431,827504;carnifex,gernotkunz
75705444;2438113,1731739,740345,477431,1375137;pastabaum,frank007,tusee,carnifex,robertzimmermann
75750668;4125367,2539175;leopold_seckl,luissilva4
75750799;3169711,18381,3666055,155951;philippevoidrot,joachim,cleeb,tom-kirschey
75750934;3169711,740345,3666055,155951;philippevoidrot,tusee,cleeb,tom-kirschey
75751298;3169711,601423;philippevoidrot,huzi0131
75752530;740345,4264458,2465059;tusee,dawae7,glycymeris
75755540;477431,3782665,477431;carnifex,paolosol,carnifex
75755640;477431;carnifex
75757219;960916,3241009,477431;szucsich,filantus,carnifex
75759373;4240784,2438113;kleeumgebung,pastabaum
75760044;890527,2886668;philpav,frank375
75760212;2063870,4452975;jakobbrejcha,marina_nigrowics
75761017;2814429,2886668,2426747;drosophila,frank375,bernhardhausdorf
75762005;477431,1208365;carnifex,kevin474
75762015;477431,2541735;carnifex,nattrack
75762038;477431,1530852;carnifex,lupoli_roland
75763783;4008661,601423;andreas_berger,huzi0131
75764129;4008661,2032730,3666055,155951;andreas_berger,waldgeist,cleeb,tom-kirschey
75768357;477431,2032730;carnifex,waldgeist
75768485;477431,2032730;carnifex,waldgeist
75768656;477431;carnifex
75768900;477431,477431,477431;carnifex,carnifex,carnifex
75768902;477431,477431;carnifex,carnifex
75771511;4240784,4240784,1731739,2329740,4240784;kleeumgebung,kleeumgebung,frank007,karimstrohriegl,kleeumgebung
75771925;4240784,4240784,1731739,4240784,4240784,4240784;kleeumgebung,kleeumgebung,frank007,kleeumgebung,kleeumgebung,kleeumgebung
75772913;474425,3471352;pearmonger,gijwans
75772997;4240784;kleeumgebung
75773164;474425,1731739;pearmonger,frank007
75773306;474425,280431;pearmonger,colinpurrington
75774057;1768489,1471889,4323624;sonka,lrasran,hederahelix
75776321;4240784,169070,1818525;kleeumgebung,roby,per-hoffmann-olsen
75779455;4240784,1366512;kleeumgebung,michgrub97
75781001;477431,960916;carnifex,szucsich
75781015;477431;carnifex
75781136;477431,960916,2336170;carnifex,szucsich,laurenthoff
75781268;477431;carnifex
75781368;477431,1471889;carnifex,lrasran
75785334;477431,2840315;carnifex,bumble_being
75786124;2814429,988618,477431;drosophila,samuel_messner,carnifex
75786590;3169711,2937570,155951,3666055;philippevoidrot,arianeveit,tom-kirschey,cleeb
75788215;2455232,1731739;amikiri,frank007
75788848;1471889,2626695;lrasran,brothernorbert
75789037;1471889,2626695;lrasran,brothernorbert
75789086;1471889,2626695;lrasran,brothernorbert
75789157;1471889,250566;lrasran,else
75789203;1471889,2626695;lrasran,brothernorbert
75789224;1471889,2626695;lrasran,brothernorbert
75789249;1471889,2626695;lrasran,brothernorbert
75789273;1471889,2626695;lrasran,brothernorbert
75789309;1471889,2626695;lrasran,brothernorbert
75789328;1471889,2626695;lrasran,brothernorbert
