id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_tribe_name,taxon_genus_name,taxon_species_name
75750644,2021-04-30 07:31:10,2021-04-30,2021-04-30 05:31:10 UTC,Vienna,4043937,ridilarata,2021-04-30 05:32:53 UTC,2021-04-30 17:01:04 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/75750644,https://inaturalist-open-data.s3.amazonaws.com/photos/123964362/medium.jpeg,,"",,1,0,false,2,"3100 St. Pölten, Österreich",48.1925174268,15.6240303721,9,9,,,false,,,Knoblauchsrauke,Alliaria petiolata,Knoblauchsrauke,Plantae,56061,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,Thlaspideae,Alliaria,Alliaria petiolata
75751545,2021-04-30 07:42:47,2021-04-30,2021-04-30 05:42:47 UTC,Vienna,4043937,ridilarata,2021-04-30 05:43:43 UTC,2021-04-30 08:58:28 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/75751545,https://inaturalist-open-data.s3.amazonaws.com/photos/123966121/medium.jpeg,,"",,1,0,false,2,"3100 St. Pölten, Österreich",48.192470572,15.6236887258,9,9,,open,false,,,Weinbergschnecke,Helix pomatia,Weinbergschnecke,Mollusca,61523,Mollusca,Gastropoda,Stylommatophora,Helicoidea,Helicidae,Helicinae,Helicini,Helix,Helix pomatia
75752458,2021-04-30 07:49:22,2021-04-30,2021-04-30 05:49:22 UTC,Vienna,4043937,ridilarata,2021-04-30 05:53:13 UTC,2021-05-01 06:30:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/75752458,https://inaturalist-open-data.s3.amazonaws.com/photos/123967187/medium.jpeg,,"",,1,0,false,2,"Sankt Pölten, AT-NO, AT",48.1924754335,15.6235067546,8,8,,,false,,,Kriechender Günsel,Ajuga reptans,Kriechender Günsel,Plantae,56099,Tracheophyta,Magnoliopsida,Lamiales,,Lamiaceae,Ajugoideae,,Ajuga,Ajuga reptans
75753139,Fri Apr 30 2021 08:02:34 GMT+0200 (GMT+2),2021-04-30,2021-04-30 06:02:34 UTC,Pretoria,4139190,choopz,2021-04-30 06:03:00 UTC,2021-05-04 07:36:36 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/75753139,https://inaturalist-open-data.s3.amazonaws.com/photos/123968267/medium.jpg,,"","",1,0,false,3,"Hammerweg, St. Pölten, Niederösterreich, AT",48.2041090122,15.6308645569,5,5,,,false,,,Lecanoromycetes,Lecanoromycetes,,Fungi,54743,Ascomycota,Lecanoromycetes,,,,,,,
75753252,Fri Apr 30 2021 08:04:00 GMT+0200 (GMT+2),2021-04-30,2021-04-30 06:04:00 UTC,Pretoria,4139190,choopz,2021-04-30 06:04:20 UTC,2021-05-04 07:36:48 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/75753252,https://inaturalist-open-data.s3.amazonaws.com/photos/123968425/medium.jpg,,"","",2,0,false,3,"Hammerweg, St. Pölten, Niederösterreich, AT",48.2033595024,15.6311760284,5,5,,,false,,,Efeu,Hedera helix,Efeu,Plantae,55882,Tracheophyta,Magnoliopsida,Apiales,,Araliaceae,,,Hedera,Hedera helix
75753299,Fri Apr 30 2021 08:04:56 GMT+0200 (GMT+2),2021-04-30,2021-04-30 06:04:56 UTC,Pretoria,4139190,choopz,2021-04-30 06:05:08 UTC,2021-05-04 07:37:00 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/75753299,https://inaturalist-open-data.s3.amazonaws.com/photos/123968542/medium.jpg,,"","",2,0,false,3,"Hammerweg, St. Pölten, Niederösterreich, AT",48.2029901958,15.6311175227,5,5,,,false,,,Weinbergs-Traubenhyazinthe,Muscari neglectum,Weinbergs-Traubenhyazinthe,Plantae,68846,Tracheophyta,Liliopsida,Asparagales,,Asparagaceae,Scilloideae,,Muscari,Muscari neglectum
75753356,Fri Apr 30 2021 08:05:42 GMT+0200 (GMT+2),2021-04-30,2021-04-30 06:05:42 UTC,Pretoria,4139190,choopz,2021-04-30 06:05:55 UTC,2021-05-04 07:38:00 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/75753356,https://inaturalist-open-data.s3.amazonaws.com/photos/123968642/medium.jpg,,"","",2,0,false,3,"Hammerweg, St. Pölten, Niederösterreich, AT",48.2029003837,15.6309114956,5,5,,,false,,,Kriechender Günsel,Ajuga reptans,Kriechender Günsel,Plantae,56099,Tracheophyta,Magnoliopsida,Lamiales,,Lamiaceae,Ajugoideae,,Ajuga,Ajuga reptans
75754857,2021-04-30 08:25:25,2021-04-30,2021-04-30 06:25:25 UTC,Vienna,4231768,martin_grohs,2021-04-30 06:26:01 UTC,2021-04-30 06:26:01 UTC,casual,,https://www.inaturalist.org/observations/75754857,,,"",,0,0,false,2,"Regierungsviertel, 3100 St. Pölten, Österreich",48.1989794,15.6302011,49,49,,,false,,,Entenvögel,Anatidae,Entenvögel,Aves,6912,Chordata,Aves,Anseriformes,,Anatidae,,,,
75756706,2021-04-30 08:42:59,2021-04-30,2021-04-30 06:42:59 UTC,Vienna,4043937,ridilarata,2021-04-30 06:46:24 UTC,2021-05-01 16:54:36 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/75756706,https://inaturalist-open-data.s3.amazonaws.com/photos/123974225/medium.jpeg,,"",,2,0,false,2,"3100 St. Pölten, Österreich",48.1924989093,15.6236271188,,,,open,false,gps,gps,Garten-Bänderschnecke,Cepaea hortensis,Garten-Bänderschnecke,Mollusca,51039,Mollusca,Gastropoda,Stylommatophora,Helicoidea,Helicidae,Helicinae,Allognathini,Cepaea,Cepaea hortensis
75770903,2021-04-30 11:02:47,2021-04-30,2021-04-30 11:02:47 UTC,UTC,4043937,ridilarata,2021-04-30 09:03:25 UTC,2021-05-03 10:22:45 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/75770903,,https://static.inaturalist.org/sounds/199110.m4a?1619773408,"",,1,0,false,2,"3100 St. Pölten, Österreich",48.2332310127,15.6699357089,8,8,,,false,,,Wasserfrösche,Pelophylax,Wasserfrösche,Amphibia,64806,Chordata,Amphibia,Anura,,Ranidae,,,Pelophylax,
